id	owner	datetaken	latitude	longitude	page	month	year	dateonly
91118691	69803582@N00	2006-01-25 11:28:50	56.433648	-6.341171	1	Jan	2006	2006-01-25
86558217	31561511@N00	2006-01-14 21:57:42	53.310057	-4.060478	1	Jan	2006	2006-01-14
43189579	53288778@N00	2006-01-31 06:02:08	59.858781	-1.28746	1	Jan	2006	2006-01-31
191707081	36216683@N00	2006-02-22 16:12:29	56.062836	-2.773017	1	Feb	2006	2006-02-22
116532768	72079541@N00	2006-03-18 16:14:14	56.331028	-6.369237	1	Mar	2006	2006-03-18
137697768	34952154@N00	2006-04-28 14:01:34	54.130963	-0.114498	1	Apr	2006	2006-04-28
10171159034	76048834@N04	2006-05-09 14:12:13	56.485551	-6.428375	1	May	2006	2006-05-09
8597049535	56880150@N08	2006-05-13 08:06:54	56.183627	-2.553538	1	May	2006	2006-05-13
5087632948	54277703@N03	2006-05-27 15:36:07	56.187985	-2.561359	1	May	2006	2006-05-27
3638800095	23206546@N04	2006-05-11 12:37:11	51.618016	-2.416992	1	May	2006	2006-05-11
942057065	48715359@N00	2006-05-06 10:43:19	53.324926	-4.019451	1	May	2006	2006-05-06
942003921	48715359@N00	2006-05-04 12:44:31	53.321286	-4.035587	1	May	2006	2006-05-04
395619686	68259253@N00	2006-05-27 11:02:10	55.619248	-1.64915	1	May	2006	2006-05-27
230194948	45211618@N00	2006-05-30 20:07:36	51.69565	-5.273609	1	May	2006	2006-05-30
166618971	22793893@N00	2006-05-28 17:18:38	58.67069	-3.38087	1	May	2006	2006-05-28
160247969	90484572@N00	2006-05-28 15:01:32	55.616267	-1.656746	1	May	2006	2006-05-28
160231487	95101667@N00	2006-05-27 12:05:51	55.62092	-1.645889	1	May	2006	2006-05-27
160166066	90484572@N00	2006-05-27 10:38:20	55.32973	-1.559543	1	May	2006	2006-05-27
159639399	78516886@N00	2006-05-24 11:16:15	55.683778	-1.799697	1	May	2006	2006-05-24
156440166	56135189@N00	2006-05-25 14:45:50	51.81201	-5.035858	1	May	2006	2006-05-25
155677310	58374442@N00	2006-05-25 13:46:30	55.638655	-1.625461	1	May	2006	2006-05-25
155668888	58374442@N00	2006-05-29 17:33:58	55.638655	-1.625461	1	May	2006	2006-05-29
150665504	43127277@N00	2006-05-21 12:21:17	57.69502	-2.30524	1	May	2006	2006-05-21
15635654283	129733140@N05	2006-06-13 11:35:56	51.73166	-5.293672	1	Jun	2006	2006-06-13
8207166406	40592731@N07	2006-06-01 11:12:24	51.731137	-5.295146	1	Jun	2006	2006-06-01
6872229557	38230476@N05	2006-06-15 16:23:12	59.319221	-2.990339	1	Jun	2006	2006-06-15
6869539645	35744577@N06	2006-06-30 12:23:34	50.598493	-1.954364	1	Jun	2006	2006-06-30
5634438195	31217869@N08	2006-06-30 12:43:31	51.7356	-5.291118	1	Jun	2006	2006-06-30
5491620464	54493630@N06	2006-06-15 15:14:48	56.489225	-6.42168	1	Jun	2006	2006-06-15
5371038812	58519338@N08	2006-06-17 13:44:47	51.738802	-5.280389	1	Jun	2006	2006-06-17
4799387966	51899507@N03	2006-06-18 15:37:01	56.487247	-6.422839	1	Jun	2006	2006-06-18
3861237819	41890402@N06	2006-06-13 15:06:44	56.436305	-6.339969	1	Jun	2006	2006-06-13
2955998318	30152006@N08	2006-06-10 12:06:12	51.73245	-5.299787	1	Jun	2006	2006-06-10
2507843867	15304665@N06	2006-06-15 12:42:30	55.630975	-1.624646	1	Jun	2006	2006-06-15
2391528877	24216427@N03	2006-06-21 11:31:18	54.15012	-0.168485	1	Jun	2006	2006-06-21
2330628417	11814935@N08	2006-06-20 13:41:21	55.618429	-1.647708	1	Jun	2006	2006-06-20
2305496672	23913935@N07	2006-06-10 11:20:57	55.633132	-1.623573	1	Jun	2006	2006-06-10
1734955893	12615093@N00	2006-06-24 01:13:02	60.364317	-1.266174	1	Jun	2006	2006-06-24
1583458163	9006305@N04	2006-06-07 11:01:38	55.634876	-1.627693	1	Jun	2006	2006-06-07
557911457	25866217@N00	2006-06-06 19:44:24	56.481311	-6.430435	1	Jun	2006	2006-06-06
531603828	39617394@N00	2006-06-09 14:20:32	56.498938	-6.417903	1	Jun	2006	2006-06-09
487930449	65166290@N00	2006-06-07 18:50:01	57.298338	-7.400665	1	Jun	2006	2006-06-07
395619854	68259253@N00	2006-06-02 14:56:03	55.617794	-1.648507	1	Jun	2006	2006-06-02
395619510	68259253@N00	2006-06-14 14:55:41	55.617794	-1.648507	1	Jun	2006	2006-06-14
285664896	89782291@N00	2006-06-04 15:10:36	55.254101	-5.123448	1	Jun	2006	2006-06-04
283950417	51827103@N00	2006-06-12 00:51:55	60.613385	-1.325654	1	Jun	2006	2006-06-12
256546898	88088229@N00	2006-06-25 12:34:00	51.731706	-5.29438	1	Jun	2006	2006-06-25
240505575	23482878@N00	2006-06-22 18:40:02	59.860376	-1.281795	1	Jun	2006	2006-06-22
192666427	65341335@N00	2006-06-16 12:23:55	54.120954	-0.084114	1	Jun	2006	2006-06-16
181896933	11599167@N00	2006-06-09 12:08:03	54.781682	-6.811523	1	Jun	2006	2006-06-09
178445348	89944566@N00	2006-06-28 08:34:34	49.697394	-2.230224	1	Jun	2006	2006-06-28
174423281	77784956@N00	2006-06-10 14:50:43	55.299935	-6.231307	1	Jun	2006	2006-06-10
174408237	77784956@N00	2006-06-24 14:10:23	55.298958	-6.274394	1	Jun	2006	2006-06-24
171521254	14057878@N00	2006-06-17 11:56:24	55.617527	-1.650867	1	Jun	2006	2006-06-17
171470578	31295108@N00	2006-06-18 14:31:06	51.730217	-5.293521	1	Jun	2006	2006-06-18
164867228	42304632@N00	2006-06-11 07:52:40	55.676374	-1.809654	1	Jun	2006	2006-06-11
160688045	90484572@N00	2006-06-03 12:08:17	55.631157	-1.624174	1	Jun	2006	2006-06-03
5286758062	57306311@N06	2006-07-02 12:48:50	51.75424	-5.218505	1	Jul	2006	2006-07-02
4703288913	51153468@N02	2006-07-10 10:57:57	55.630806	-1.624603	1	Jul	2006	2006-07-10
3417773958	53901239@N00	2006-07-12 13:17:58	55.616134	-1.65872	1	Jul	2006	2006-07-12
3330825262	35976094@N06	2006-07-13 14:56:23	53.31057	-4.042797	1	Jul	2006	2006-07-13
3272981775	33063091@N08	2006-07-17 13:26:46	49.926195	-6.34366	1	Jul	2006	2006-07-17
2793157875	22551239@N07	2006-07-19 12:10:52	55.631969	-1.623058	1	Jul	2006	2006-07-19
2332022068	24638282@N02	2006-07-07 22:02:58	53.294875	-0.544295	1	Jul	2006	2006-07-07
818978458	9535015@N02	2006-07-19 12:03:45	55.631242	-1.623916	1	Jul	2006	2006-07-19
769811413	80739320@N00	2006-07-26 14:39:25	55.616849	-1.64812	1	Jul	2006	2006-07-26
682421088	9535015@N02	2006-07-25 12:07:57	55.631242	-1.623916	1	Jul	2006	2006-07-25
249107100	33316297@N00	2006-07-15 10:26:55	59.288331	-2.966308	1	Jul	2006	2006-07-15
242378562	76048152@N00	2006-07-01 13:22:23	51.743399	-5.296268	1	Jul	2006	2006-07-01
230194332	45211618@N00	2006-07-13 20:26:59	51.69565	-5.273609	1	Jul	2006	2006-07-13
206623914	41332866@N00	2006-07-15 12:45:52	55.620048	-1.649065	1	Jul	2006	2006-07-15
202104365	57999935@N00	2006-07-30 13:34:50	55.615976	-1.62117	1	Jul	2006	2006-07-30
200521695	41332866@N00	2006-07-16 10:58:40	55.620048	-1.649065	1	Jul	2006	2006-07-16
190158662	27556987@N00	2006-07-15 12:23:17	56.189132	-2.56668	1	Jul	2006	2006-07-15
186604600	34497764@N00	2006-07-07 11:42:08	56.186457	-2.557754	1	Jul	2006	2006-07-07
181281250	39317127@N00	2006-07-01 15:07:34	53.298363	-4.123134	1	Jul	2006	2006-07-01
180877800	97434010@N00	2006-07-03 11:23:29	50.457722	-3.525838	1	Jul	2006	2006-07-03
180148010	65568598@N00	2006-07-02 13:04:22	56.186839	-2.557754	1	Jul	2006	2006-07-02
455198738	68944617@N00	2006-08-05 09:30:00	57.256162	-3.09617	1	Aug	2006	2006-08-05
339558101	85885425@N00	2006-08-13 17:09:28	53.309954	-4.044342	1	Aug	2006	2006-08-13
217751351	20265174@N00	2006-08-17 09:17:28	59.154811	-3.146896	1	Aug	2006	2006-08-17
212701822	33086650@N00	2006-08-10 10:33:10	59.854385	-1.290035	1	Aug	2006	2006-08-10
211949966	33086650@N00	2006-08-09 14:35:39	59.854385	-1.290035	1	Aug	2006	2006-08-09
17192242129	132038830@N07	2006-09-16 14:26:22	53.313057	-4.040822	1	Sep	2006	2006-09-16
6079819685	21298507@N04	2006-09-04 10:56:30	50.460762	-3.527823	1	Sep	2006	2006-09-04
4826875151	51745862@N06	2006-09-08 05:47:39	53.312313	-4.040565	1	Sep	2006	2006-09-08
2551026139	34919326@N00	2006-09-16 15:14:34	53.312134	-4.04108	1	Sep	2006	2006-09-16
301269044	13699773@N00	2006-09-07 02:24:39	58.375303	-5.204601	1	Sep	2006	2006-09-07
256046813	89782291@N00	2006-09-30 04:12:37	55.254101	-5.123448	1	Sep	2006	2006-09-30
250488896	96821676@N00	2006-09-16 14:05:14	51.13897	-0.86483	1	Sep	2006	2006-09-16
241765624	31611867@N00	2006-09-11 20:22:12	55.776573	-1.977539	1	Sep	2006	2006-09-11
6217030950	61572845@N03	2006-10-22 12:09:33	58.134563	-5.265799	1	Oct	2006	2006-10-22
266371754	30987368@N00	2006-10-10 22:49:07	60.146973	-2.098388	1	Oct	2006	2006-10-10
298161762	24204505@N00	2006-11-12 15:25:44	57.045445	-6.467771	1	Nov	2006	2006-11-12
